Company_name	Company_ID	Big3Share	Position	Revenue	Assets	Employees	MarketCap	Exchange	TypeEnt
UFP TECHNOLOGIES INC	US042314970	2.66	13	138850.0	119950.0	722.0	152772.0	NASDAQ National Market	Industrial company
ANALOG DEVICES INC	US042348234	17.16	1	3435092.0	7058777.0	9700.0	17961522.0	NASDAQ National Market	Industrial company
CRA INTERNATIONAL, INC.	US042372210	8.96	2	303559.0	313717.0	511.0	211347.0	NASDAQ National Market	Financial company
CSP INC	US042441294	2.13	12	89306.0	46996.0	nan	29569.0	NASDAQ National Market	Industrial company
ANALOGIC CORP	US042454372	19.6	1	540291.0	624579.0	1679.0	1025109.0	NASDAQ National Market	Industrial company
STATE STREET CORPORATION	US042456637	10.55	1	10235000.0	245192000.0	32356.0	25074900.0	New York Stock Exchange (NYSE)	Bank
URSTADT BIDDLE PROPERTIES INC	US042458042	18.77	3	115312.0	861075.0	49.0	555776.0	New York Stock Exchange (NYSE)	Financial company
BOSTON PROPERTIES INC	US042473675	25.9	1	2490821.0	18351486.0	765.0	19264397.0	New York Stock Exchange (NYSE)	Financial company
CENTURY BANCORP, INC.	US042498617	5.51	2	85952.0	3947441.0	374.0	152959.0	NASDAQ National Market	Bank
KLA TENCOR CORP	US042564110	18.97	1	2814049.0	4826012.0	5880.0	11365155.0	NASDAQ National Market	Industrial company
XCERRA CORPORATION	US042594045	12.059999999999999	1	397978.0	387475.0	1722.0	348401.0	NASDAQ National Market	Industrial company
NEW ENGLAND REALTY ASSOCIATES LIMITED PARTNERSHIP	US042619298	0	109	45481.0	202166.0	nan	5676.0	NYSE MKT	Financial company
DESTINATION XL GROUP, INC.	US042623104	5.680000000000001	10	442221.0	274347.0	2567.0	241508.0	NASDAQ National Market	Industrial company
KEY ENERGY SERVICES INC	US042648081	9.04	3	792326.0	1327798.0	3800.0	49104.0	New York Stock Exchange (NYSE)	Industrial company
EMC CORP	US042680009	14.99	1	24704000.0	46612000.0	72000.0	54357464.0	New York Stock Exchange (NYSE)	Industrial company
WORLD WRESTLING ENTERTAINMENT, INC.	US042693383	7.79	4	658768.0	409145.0	840.0	599962.0	New York Stock Exchange (NYSE)	Industrial company
BOSTON SCIENTIFIC CORP	US042695240	18.130000000000003	1	7477000.0	18133000.0	25000.0	30638054.0	New York Stock Exchange (NYSE)	Industrial company
COGNEX CORP	US042713778	15.92	1	450557.0	887756.0	1305.0	3658952.0	NASDAQ National Market	Industrial company
EATON VANCE CORP	US042718215	23.77	1	1403563.0	2116471.0	1473.0	4198857.0	New York Stock Exchange (NYSE)	Financial company
PANERA BREAD CO	US042723701	16.82	1	2681580.0	1440839.0	23800.0	4918980.0	NASDAQ National Market	Industrial company
IMMUNOGEN INC	US042726691	16.939999999999998	1	85541.0	313823.0	317.0	492856.0	NASDAQ National Market	Industrial company
REPLIGEN CORP	US042729386	17.86	1	83537.0	146237.0	168.0	815401.0	NASDAQ National Market	Industrial company
CONCURRENT COMPUTER CORP	US042735766	10.370000000000001	1	64459.0	57780.0	nan	61313.0	NASDAQ National Market	Industrial company
ASPEN TECHNOLOGY INC	US042739697	17.31	1	440401.0	315361.0	1372.0	3110962.0	NASDAQ National Market	Industrial company
MERCURY SYSTEMS INC	US042741391	18.01	1	234847.0	389988.0	629.0	849810.0	NASDAQ National Market	Industrial company
AMAG PHARMACEUTICALS, INC.	US042742593	18.43	1	418276.0	2476210.0	nan	724773.0	NASDAQ National Market	Industrial company
VICOR CORP	US042742817	10.62	2	220194.0	157545.0	985.0	276321.0	NASDAQ National Market	Industrial company
ABIOMED INC	US042743260	18.25	1	230311.0	338367.0	589.0	4262402.0	NASDAQ National Market	Industrial company
PROGRESS SOFTWARE CORP	US042746201	1.96	9	377554.0	877123.0	1766.0	1328369.0	NASDAQ National Market	Industrial company
PAREXEL INTERNATIONAL CORP	US042776269	20.73	1	2330274.0	1865021.0	18660.0	3318181.0	NASDAQ National Market	Industrial company
PEGASYSTEMS INC	US042787865	7.280000000000001	2	682695.0	627758.0	3333.0	2026764.0	NASDAQ National Market	Industrial company
CCA INDUSTRIES, INC.	US042795439	0.71	10	24790.0	19151.0	nan	19687.0	NYSE MKT	Industrial company
FORRESTER RESEARCH INC	US042797789	11.67	2	313726.0	318991.0	1345.0	661738.0	NASDAQ National Market	Industrial company
LEMAITRE VASCULAR, INC.	US042825458	6.99	2	78352.0	90704.0	339.0	269991.0	NASDAQ National Market	Industrial company
CPS TECHNOLOGIES CORP.	US042832409	0	105	21762.0	13562.0	nan	23758.0	NASDAQ National Market	Industrial company
KOPIN CORP	US042833935	14.96	1	32054.0	106060.0	176.0	136680.0	NASDAQ National Market	Industrial company
NETSCOUT SYSTEMS INC	US042837575	18.67	1	955419.0	3592843.0	nan	2330204.0	NASDAQ National Market	Industrial company
PTC INC.	US042866152	17.27	1	1255242.0	2209913.0	5982.0	4120680.0	NASDAQ National Market	Industrial company
INDEPENDENT BANK CORP	US042870273	19.130000000000003	1	350000.0	nan	1500.0	1298025.0	NASDAQ National Market	Bank
HAEMONETICS CORP	US042882273	18.979999999999997	1	910373.0	1485417.0	3383.0	1423735.0	New York Stock Exchange (NYSE)	Industrial company
STAPLES INC	US042896127	21.89	1	21059000.0	10172000.0	75371.0	5629162.0	NASDAQ National Market	Industrial company
HOLOGIC INC	US042902449	16.77	1	2705000.0	7670100.0	5290.0	9594533.0	NASDAQ National Market	Industrial company
AWARE INC	US042911026	5.0600000000000005	7	19621.0	63619.0	nan	93582.0	NASDAQ National Market	Industrial company
WATTS WATER TECHNOLOGIES, INC.	US042916536	12.509999999999998	2	1467700.0	1692800.0	5000.0	1597530.0	New York Stock Exchange (NYSE)	Industrial company
MODUSLINK GLOBAL SOLUTIONS, INC.	US042921333	9.170000000000002	2	561673.0	446502.0	2500.0	73797.0	NASDAQ National Market	Financial company
CBS CORPORATION	US042949533	14.870000000000001	2	13886000.0	23765000.0	16260.0	22788236.0	New York Stock Exchange (NYSE)	Industrial company
AMERICAN SUPERCONDUCTOR CORP	US042959321	1.6	5	70530.0	133825.0	318.0	146743.0	NASDAQ National Market	Industrial company
BOSTON PRIVATE FINANCIAL HOLDINGS INC	US042976299	19.2	1	346939.0	7542508.0	890.0	1042580.0	NASDAQ National Market	Bank
AVID TECHNOLOGY INC	US042977748	9.899999999999999	2	505595.0	247926.0	1522.0	233865.0	NASDAQ National Market	Industrial company
SEVCON INC	US042985631	0	113	41142.0	35616.0	nan	40095.0	NASDAQ National Market	Industrial company
CLEAN HARBORS INC	US042997780	14.499999999999998	1	3275137.0	3431428.0	12900.0	2958222.0	New York Stock Exchange (NYSE)	Industrial company
VERTEX PHARMACEUTICALS INCORPORATED	US043039129	17.400000000000002	1	1032336.0	2498587.0	1950.0	22355480.0	NASDAQ National Market	Industrial company
BROOKS AUTOMATION, INC.	US043040660	18.55	1	552708.0	759654.0	1426.0	757524.0	NASDAQ National Market	Industrial company
IDERA PHARMACEUTICALS, INC.	US043072298	7.89	2	249.0	92276.0	62.0	180751.0	NASDAQ National Market	Industrial company
CABOT OIL & GAS CORPORATION	US043072771	20.15	1	1357150.0	5261899.0	459.0	10978657.0	New York Stock Exchange (NYSE)	Industrial company
GARTNER INC	US043099750	19.490000000000002	1	2163056.0	2174686.0	7834.0	8444056.0	New York Stock Exchange (NYSE)	Industrial company
AMTRUST FINANCIAL SERVICES, INC	US043106389	6.21	8	6799537.0	17111632.0	nan	4577875.0	NASDAQ National Market	Insurance company
BRUKER CORPORATION	US043110160	8.55	5	1623800.0	1730000.0	nan	4275322.0	NASDAQ National Market	Industrial company
CYNOSURE, INC.	US043125110	16.37	1	339462.0	534610.0	857.0	1137793.0	NASDAQ National Market	Industrial company
ANIKA THERAPEUTICS INC	US043145961	16.23	1	92999.0	235748.0	107.0	678983.0	NASDAQ National Market	Industrial company
METABOLIX, INC.	US043158289	0.98	7	2594.0	17088.0	68.0	21627.0	NASDAQ National Market	Industrial company
SEACHANGE INTERNATIONAL INC	US043197974	7.25	4	106992.0	177669.0	660.0	119883.0	NASDAQ National Market	Industrial company
ENANTA PHARMACEUTICALS, INC.	US043205099	15.209999999999999	1	160880.0	246013.0	69.0	462367.0	NASDAQ National Market	Industrial company
MERRIMACK PHARMACEUTICALS, INC.	US043210530	19.48	1	89258.0	234880.0	426.0	805946.0	NASDAQ National Market	Industrial company
AFFILIATED MANAGERS GROUP INC	US043218510	18.81	1	3000000.0	nan	3500.0	9281416.0	New York Stock Exchange (NYSE)	Bank
ANSYS INC	US043219960	18.94	1	942753.0	2729904.0	2800.0	7840915.0	NASDAQ National Market	Industrial company
ARQULE INC	US043221586	7.7299999999999995	4	11239.0	40004.0	36.0	120807.0	NASDAQ National Market	Industrial company
EXELIXIS INC	US043257395	17.72	1	37172.0	332342.0	115.0	1450209.0	NASDAQ National Market	Industrial company
HOSPITALITY PROPERTIES TRUST	US043262075	26.919999999999998	1	1921904.0	6394797.0	nan	3885672.0	New York Stock Exchange (NYSE)	Financial company
HANOVER INSURANCE GROUP INC	US043263626	17.93	1	5444500.0	13790900.0	nan	3735651.0	New York Stock Exchange (NYSE)	Insurance company
BOSTON BEER CO INC	US043284048	12.69	2	959934.0	645400.0	1429.0	1491924.0	New York Stock Exchange (NYSE)	Industrial company
MEDALLION FINANCIAL CORP	US043291176	0	102	37500.0	nan	175.0	197710.0	NASDAQ National Market	Bank
FIRST MARBLEHEAD CORP	US043295311	5.109999999999999	7	37500.0	nan	375.0	42606.0	New York Stock Exchange (NYSE)	Bank
HARVARD BIOSCIENCE INC	US043306140	8.870000000000001	1	108664.0	120217.0	462.0	120606.0	NASDAQ National Market	Industrial company
NEUROMETRIX, INC.	US043308180	3.24	2	7300.0	16034.0	48.0	7375.0	NASDAQ National Market	Industrial company
ENTERPRISE BANCORP INC	US043308902	4.99	2	112500.0	nan	375.0	244481.0	NASDAQ National Market	Bank
CELLECTAR BIOSCIENCES, INC.	US043321804	0	120	0.0	7596.0	19.0	11574.0	NASDAQ National Market	Industrial company
MEDICINES CO	US043324394	20.73	1	309007.0	1795516.0	614.0	2639628.0	NASDAQ National Market	Industrial company
FAIRCHILD SEMICONDUCTOR INTERNATIONAL INC	US043363001	19.06	1	1370200.0	1585900.0	6379.0	2281392.0	NASDAQ National Market	Industrial company
SONUS NETWORKS INC	US043387074	13.610000000000001	1	249034.0	312891.0	1049.0	453265.0	NASDAQ National Market	Industrial company
ATHENAHEALTH, INC	US043387530	11.540000000000001	3	924728.0	1118662.0	4668.0	4946002.0	NASDAQ National Market	Industrial company
VUZIX CORP	US043392453	0.91	9	2750.0	19563.0	39.0	93572.0	NASDAQ National Market	Industrial company
LIONBRIDGE TECHNOLOGIES INC	US043398462	11.690000000000001	3	559984.0	298268.0	6000.0	274535.0	NASDAQ National Market	Industrial company
XURA, INC.	US043398741	13.28	1	477305.0	606352.0	2300.0	620960.0	NASDAQ National Market	Industrial company
BROOKLINE BANCORP INC	US043402944	19.75	1	214549.0	6042338.0	675.0	816619.0	NASDAQ National Market	Bank
IRONWOOD PHARMACEUTICALS, INC.	US043404176	15.079999999999998	1	149555.0	619121.0	474.0	1590560.0	NASDAQ National Market	Industrial company
PTC THERAPEUTICS, INC.	US043416587	18.28	1	36766.0	365281.0	320.0	268638.0	NASDAQ National Market	Industrial company
AKAMAI TECHNOLOGIES INC	US043432319	17.95	1	2197448.0	4181684.0	6084.0	9517074.0	NASDAQ National Market	Industrial company
IPG PHOTONICS CORPORATION	US043444218	10.870000000000001	5	901265.0	1453429.0	3740.0	4590712.0	NASDAQ National Market	Industrial company
NXSTAGE MEDICAL, INC.	US043454702	13.530000000000001	1	336123.0	306874.0	3600.0	1213044.0	NASDAQ National Market	Industrial company
INOTEK PHARMACEUTICALS CORPORATION	US043475813	8.23	4	0.0	113321.0	17.0	219811.0	NASDAQ National Market	Industrial company
CIRCOR INTERNATIONAL INC	US043477276	20.089999999999996	1	656267.0	669915.0	2500.0	923682.0	New York Stock Exchange (NYSE)	Industrial company
TECHTARGET INC	US043483216	4.760000000000001	6	111826.0	177859.0	696.0	258063.0	NASDAQ National Market	Industrial company
CURIS INC	US043505116	10.43	4	7878.0	94965.0	44.0	219608.0	NASDAQ National Market	Industrial company
SYNTA PHARMACEUTICALS CORP.	US043508648	3.62	5	0.0	68195.0	10.0	49817.0	NASDAQ National Market	Industrial company
BERKSHIRE HILLS BANCORP INC	US043510455	13.95	1	267304.0	7831915.0	1221.0	863185.0	New York Stock Exchange (NYSE)	Bank
AMERESCO INC	US043512838	3.6599999999999997	2	630832.0	723440.0	1037.0	136432.0	New York Stock Exchange (NYSE)	Industrial company
VIRTUSA CORPORATION	US043512883	15.94	1	478986.0	489737.0	9247.0	1049372.0	NASDAQ National Market	Industrial company
EPIRUS BIOPHARMACEUTICALS, INC.	US043514457	2.44	13	701.0	72264.0	73.0	15635.0	NASDAQ National Market	Industrial company
FIVE STAR QUALITY CARE, INC.	US043516029	8.78	1	1365410.0	531770.0	24800.0	99933.0	New York Stock Exchange (NYSE)	Industrial company
HISTOGENICS CORPORATION	US043522315	0.16	12	0.0	36786.0	49.0	26549.0	NASDAQ National Market	Industrial company
INSULET CORPORATION	US043523891	15.38	1	324225.0	275126.0	647.0	1727362.0	NASDAQ National Market	Industrial company
TECOGEN INC.	US043536131	0	114	21443.0	21091.0	nan	83316.0	NASDAQ National Market	Industrial company
ASPEN AEROGELS, INC.	US043559972	4.83	11	122518.0	140074.0	274.0	98743.0	New York Stock Exchange (NYSE)	Industrial company
IMPRIVATA, INC.	US043560178	4.05	11	119120.0	120757.0	452.0	339389.0	New York Stock Exchange (NYSE)	Industrial company
MOMENTA PHARMACEUTICALS, INC.	US043561634	19.88	1	89650.0	421040.0	258.0	790003.0	NASDAQ National Market	Industrial company
GALECTIN THERAPEUTICS INC.	US043562325	0.32	14	0.0	26408.0	7.0	42889.0	NASDAQ National Market	Industrial company
ALERE INC	US043565120	9.77	1	3000000.0	nan	7500.0	3671953.0	New York Stock Exchange (NYSE)	Industrial company
VITAE PHARMACEUTICALS, INC.	US043567753	5.54	9	580.0	61846.0	58.0	277451.0	NASDAQ National Market	Industrial company
AMERICAN DG ENERGY INC	US043569304	0.86	11	8557.0	34022.0	16.0	12215.0	NYSE MKT	Industrial company
FRANKLIN STREET PROPERTIES CORP.	US043578653	26.3	1	243867.0	1919015.0	40.0	1147146.0	NYSE MKT	Financial company
AVEO PHARMACEUTICALS, INC.	US043581650	7.5600000000000005	1	19024.0	40542.0	19.0	54691.0	NASDAQ National Market	Industrial company
RADIANT LOGISTICS, INC.	US043625550	4.43	5	502665.0	308706.0	733.0	164375.0	NYSE MKT	Industrial company
BANC OF CALIFORNIA INC	US043639825	5.89	2	393112.0	8235555.0	1679.0	979393.0	New York Stock Exchange (NYSE)	Bank
OHR PHARMACEUTICAL, INC.	US043648721	4.2299999999999995	5	0.0	46371.0	16.0	97955.0	NASDAQ National Market	Financial company
VERIFONE SYSTEMS, INC.	US043692546	15.92	1	2000457.0	2473062.0	5400.0	2940165.0	New York Stock Exchange (NYSE)	Financial company
TELADOC, INC.	US043705970	5.199999999999999	6	77384.0	229737.0	600.0	437822.0	New York Stock Exchange (NYSE)	Industrial company
TROVAGENE, INC.	US043721895	6.140000000000001	2	313.0	71446.0	72.0	158566.0	NASDAQ National Market	Industrial company
GLOBUS MEDICAL, INC.	US043744954	10.01	2	544753.0	834100.0	1200.0	2294159.0	New York Stock Exchange (NYSE)	Industrial company
TUMI HOLDINGS, INC.	US043799139	15.58	1	547655.0	611944.0	1577.0	1811033.0	New York Stock Exchange (NYSE)	Industrial company
INVUITY, INC.	US043803169	1.92	13	21031.0	66305.0	nan	78668.0	NASDAQ National Market	Industrial company
TRUECAR, INC.	US043807511	8.52	4	259838.0	302374.0	574.0	622426.0	NASDAQ National Market	Industrial company
CHINA XD PLASTICS COMPANY LIMITED	US043836208	0	116	999193.0	1751982.0	1647.0	190708.0	NASDAQ National Market	Industrial company
ROSETTA STONE INC	US043837082	2.7199999999999998	12	217670.0	228543.0	1148.0	170312.0	New York Stock Exchange (NYSE)	Industrial company
EMPLOYERS HOLDINGS INC	US043850065	18.28	1	697700.0	3755800.0	nan	968704.0	New York Stock Exchange (NYSE)	Insurance company
