Company_name	Company_ID	Big3Share	Position	Exchange	TypeEnt	VAR	Dollars_th
UNIVERSAL CORP	US540414210	18.04	2	New York Stock Exchange (NYSE)	Industrial company	Revenue	2271801.0
BOWL AMERICA INC	US540646173	0.0	112	NYSE MKT	Industrial company	Revenue	23125.0
VSE CORP	US540649263	9.06	4	NASDAQ National Market	Industrial company	Revenue	533982.0
MEDIA GENERAL INC	US540850433	9.84	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	1304943.0
VERSAR INC	US540852979	2.72	11	NYSE MKT	Industrial company	Revenue	159877.0
UDR, INC.	US540857512	28.98	1	New York Stock Exchange (NYSE)	Financial company	Revenue	894638.0
MAXIMUS INC	US541000588	20.53	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	2099821.0
AMERICAN WOODMARK CORP	US541138147	17.509999999999998	1	NASDAQ National Market	Industrial company	Revenue	825465.0
SHENANDOAH TELECOMMUNICATIONS COMPANY	US541162807	13.78	1	NASDAQ National Market	Industrial company	Revenue	342485.0
AES CORPORATION	US541163725	24.76	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	14963000.0
DOMINION RESOURCES INC	US541229715	17.759999999999994	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	11683000.0
OPTICAL CABLE CORP	US541237042	1.7	8	NASDAQ National Market	Industrial company	Revenue	73569.0
OLD POINT FINANCIAL CORPORATION	US541265373	0.0	117	NASDAQ National Market	Bank	Revenue	1109.0
STANLEY FURNITURE COMPANY INC	US541272589	4.62	7	NASDAQ National Market	Industrial company	Revenue	57364.0
AMERICAN NATIONAL BANKSHARES INC	US541284688	7.64	1	NASDAQ National Market	Bank	Revenue	62500.0
FAUQUIER BANKSHARES, INC.	US541288193	0.0	120	NASDAQ National Market	Bank	Revenue	-2025.0
BRINK'S COMPANY (THE)	US541317776	18.79	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	3061400.0
CACI INTERNATIONAL INC	US541345888	19.45	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	3313452.0
NATIONAL BANKSHARES INC	US541375874	7.5	2	NASDAQ National Market	Bank	Revenue	37500.0
NVR INC	US541394360	20.83	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	5169562.0
TREDEGAR CORP	US541497771	14.33	3	New York Stock Exchange (NYSE)	Industrial company	Revenue	876064.0
LUNA INNOVATIONS INC	US541560050	0.76	7	NASDAQ National Market	Industrial company	Revenue	17500.0
UNION BANKSHARES CORPORATION	US541598552	10.71	1	NASDAQ National Market	Bank	Revenue	308230.0
C&F FINANCIAL CORPORATION	US541680165	3.4800000000000004	3	NASDAQ National Market	Bank	Revenue	99068.0
ALBEMARLE CORP	US541692118	22.75	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	3651335.0
MIDDLEBURG FINANCIAL CORPORATION	US541696103	2.11	5	NASDAQ National Market	Bank	Revenue	48285.0
OWENS & MINOR INC	US541701843	22.77	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	9772946.0
HC2 HOLDINGS, INC.	US541708481	5.42	5	NYSE MKT	Industrial company	Revenue	1120806.0
CAPITAL ONE FINANCIAL CORPORATION	US541719854	15.32	1	New York Stock Exchange (NYSE)	Bank	Revenue	23443000.0
ALLIANCE ONE INTERNATIONAL, INC.	US541746567	1.99	12	New York Stock Exchange (NYSE)	Industrial company	Revenue	2065850.0
EPLUS INC	US541817218	14.1	1	NASDAQ National Market	Industrial company	Revenue	1143282.0
CARMAX INC	US541821055	18.94	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	15149675.0
EASTERN VIRGINIA BANKSHARES, INC.	US541866052	1.72	10	NASDAQ National Market	Bank	Revenue	48798.0
CARDINAL FINANCIAL CORP	US541874630	16.8	1	NASDAQ National Market	Bank	Revenue	112500.0
COLFAX CORPORATION	US541887631	10.91	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	3967053.0
MONARCH FINANCIAL HOLDINGS INC	US541896433	1.95	4	NASDAQ National Market	Bank	Revenue	129268.0
RGC RESOURCES INC	US541909697	0.0	118	NASDAQ National Market	Industrial company	Revenue	68190.0
TREX CO INC	US541910453	18.96	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	440804.0
TOWNE BANK	US541910608	9.29	1	NASDAQ National Market	Bank	Revenue	345040.0
CVENT, INC.	US541954458	8.61	3	New York Stock Exchange (NYSE)	Industrial company	Revenue	187716.0
COMSCORE INC	US541955550	14.47	1	NASDAQ National Market	Industrial company	Revenue	350000.0
INTERSECTIONS INC.	US541956515	3.4799999999999995	9	NASDAQ National Market	Industrial company	Revenue	203827.0
MARKEL CORPORATION	US541959284	13.25	1	New York Stock Exchange (NYSE)	Insurance company	Revenue	4632912.0
INSMED INC	US541972729	14.420000000000002	3	NASDAQ National Market	Industrial company	Revenue	0.0
ADVANCE AUTO PARTS, INC.	US542049910	17.87	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	9737018.0
HAMPTON ROADS BANKSHARES INC	US542053718	1.01	10	NASDAQ National Market	Bank	Revenue	62500.0
RUCKUS WIRELESS, INC.	US542072041	19.24	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	373376.0
BASIC ENERGY SERVICES, INC	US542091194	14.58	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	805599.0
ORACLE CORP	US542185193	12.22	2	New York Stock Exchange (NYSE)	Industrial company	Revenue	38226000.0
WESBANCO INC	US550571723	13.52	1	NASDAQ National Market	Bank	Revenue	350000.0
CITY HOLDING CO	US550619957	19.85	1	NASDAQ National Market	Bank	Revenue	175000.0
UNITED BANKSHARES, INC.	US550641179	28.82	1	NASDAQ National Market	Bank	Revenue	454184.0
SUMMIT FINANCIAL GROUP INC	US550672148	0.94	12	NASDAQ National Market	Bank	Revenue	62500.0
FIRST COMMUNITY BANCSHARES, INC	US550694814	11.419999999999998	1	NASDAQ National Market	Bank	Revenue	114283.0
AMYRIS INC	US550856151	0.69	10	NASDAQ National Market	Industrial company	Revenue	34153.0
OPTIMUMBANK HOLDINGS, INC.	US550865043	0.0	108	NASDAQ National Market	Bank	Revenue	554.0
SNYDER'S-LANCE, INC.	US560292920	12.64	1	NASDAQ National Market	Industrial company	Revenue	1656399.0
ENTEGRA FINANCIAL CORP.	US560306860	2.91	6	NASDAQ National Market	Bank	Revenue	33118.0
CATO CORP	US560484485	21.58	2	New York Stock Exchange (NYSE)	Industrial company	Revenue	1011091.0
PIEDMONT NATURAL GAS CO INC	US560556998	21.51	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	1371718.0
LOWE'S COMPANIES, INC.	US560578072	17.62	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	59074000.0
INSTEEL INDUSTRIES INC	US560674867	11.09	1	NASDAQ National Market	Industrial company	Revenue	447504.0
AIRGAS INC	US560732648	17.23	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	5313777.0
OLD DOMINION FREIGHT LINE INC	US560751714	12.94	1	NASDAQ National Market	Industrial company	Revenue	2972442.0
INGLES MARKETS INC	US560846267	9.989999999999998	2	NASDAQ National Market	Industrial company	Revenue	3778644.0
BANK OF AMERICA CORPORATION	US560906609	15.29	1	New York Stock Exchange (NYSE)	Bank	Revenue	82507000.0
BB&T CORPORATION	US560939887	14.89	1	New York Stock Exchange (NYSE)	Bank	Revenue	9558000.0
COCA COLA BOTTLING CO CONSOLIDATED	US560950585	7.139999999999999	3	NASDAQ National Market	Industrial company	Revenue	2306458.0
CULP INC	US561001967	14.18	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	310166.0
INVESTORS TITLE COMPANY	US561110199	2.14	13	NASDAQ National Market	Insurance company	Revenue	112691.0
SYKES ENTERPRISES INC	US561383460	19.8	1	NASDAQ National Market	Industrial company	Revenue	1286340.0
FIRST BANCORP	US561421916	11.07	1	NASDAQ National Market	Bank	Revenue	62500.0
NATIONAL RETAIL PROPERTIES, INC.	US561431377	28.89	1	New York Stock Exchange (NYSE)	Financial company	Revenue	482914.0
COMMUNITYONE BANCORP	US561456589	4.39	4	NASDAQ National Market	Bank	Revenue	112500.0
FIRST CITIZENS BANCSHARES	US561528994	8.89	4	NASDAQ National Market	Bank	Revenue	1370552.0
SYNOPSYS INC	US561546236	21.47	1	NASDAQ National Market	Industrial company	Revenue	2242211.0
CREE INC	US561572719	16.71	1	NASDAQ National Market	Industrial company	Revenue	1632505.0
EMAGIN CORP	US561764501	0.19	12	NYSE MKT	Industrial company	Revenue	25142.0
TANGER FACTORY OUTLET CENTERS, INC.	US561815473	34.7	1	New York Stock Exchange (NYSE)	Financial company	Revenue	439369.0
MARTIN MARIETTA MATERIALS INC	US561848578	18.72	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	3539570.0
HIGHWOODS PROPERTIES INC	US561871668	30.28	1	New York Stock Exchange (NYSE)	Financial company	Revenue	604671.0
CHARLES & COLVARD LTD	US561928817	2.71	5	NASDAQ National Market	Industrial company	Revenue	30767.0
FIRST SOUTH BANCORP INC	US561999749	4.449999999999998	2	NASDAQ National Market	Bank	Revenue	43061.0
SONIC AUTOMOTIVE INC	US562010790	17.229999999999997	3	New York Stock Exchange (NYSE)	Industrial company	Revenue	9624299.0
CATALYST BIOSCIENCES, INC.	US562020050	0.0	109	NASDAQ National Market	Industrial company	Revenue	1750.0
ARGOS THERAPEUTICS, INC.	US562110007	0.78	15	NASDAQ National Market	Industrial company	Revenue	518.0
SCIQUEST, INC.	US562127592	13.1	1	NASDAQ National Market	Industrial company	Revenue	105353.0
PEOPLES BANCORP OF NORTH CAROLINA, INC	US562132396	1.46	15	NASDAQ National Market	Bank	Revenue	48476.0
KRISPY KREME DOUGHNUTS INC	US562169715	14.329999999999998	2	New York Stock Exchange (NYSE)	Industrial company	Revenue	518714.0
SCYNEXIS, INC.	US562181648	0.59	16	NASDAQ National Market	Industrial company	Revenue	257.0
CAROLINA TRUST BANK INC	US562197865	0.0	110	NASDAQ National Market	Bank	Revenue	13316.0
CAROLINA BANK HOLDINGS, INC.	US562215437	3.27	7	NASDAQ National Market	Bank	Revenue	36971.0
CHANNELADVISOR CORPORATION	US562257867	10.53	3	New York Stock Exchange (NYSE)	Industrial company	Revenue	100585.0
EHEALTH, INC.	US562357876	15.57	2	NASDAQ National Market	Financial company	Revenue	189541.0
VITAL THERAPIES, INC.	US562358443	5.75	6	NASDAQ National Market	Industrial company	Revenue	0.0
SKULLCANDY, INC.	US562362196	7.9300000000000015	2	NASDAQ National Market	Industrial company	Revenue	266316.0
CAVCO INDUSTRIES, INC.	US562405642	14.71	1	NASDAQ National Market	Industrial company	Revenue	566659.0
CHEVIOT FINANCIAL CORP	US562423720	2.2	10	NASDAQ National Market	Bank	Revenue	17477.0
CONFORMIS, INC.	US562463152	3.37	10	NASDAQ National Market	Industrial company	Revenue	66887.0
GRAMERCY PROPERTY TRUST	US562466617	14.72	2	New York Stock Exchange (NYSE)	Financial company	Revenue	237272.0
LIFELOCK, INC.	US562508977	12.81	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	587469.0
HERCULES OFFSHORE, INC.	US562542838	0.0	130	NASDAQ National Market	Industrial company	Revenue	335648.0
MARKETO, INC.	US562558241	11.3	3	NASDAQ National Market	Industrial company	Revenue	209869.0
NEVRO CORP.	US562568057	8.11	2	New York Stock Exchange (NYSE)	Industrial company	Revenue	69606.0
ADMA BIOLOGICS, INC.	US562590442	0.25	17	NASDAQ National Market	Industrial company	Revenue	7178.0
BIND THERAPEUTICS, INC.	US562596148	2.71	8	NASDAQ National Market	Industrial company	Revenue	15401.0
CVR PARTNERS, LP	US562677689	0.15	28	New York Stock Exchange (NYSE)	Industrial company	Revenue	289194.0
SONOCO PRODUCTS CO	US570248420	24.36	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	4964369.0
WORLD ACCEPTANCE CORP	US570425114	22.31	3	NASDAQ National Market	Financial company	Revenue	555587.0
SYNALLOY CORP	US570426694	4.87	5	NASDAQ National Market	Industrial company	Revenue	175460.0
SPAN AMERICA MEDICAL SYSTEMS INC	US570525804	0.44	21	NASDAQ National Market	Industrial company	Revenue	64315.0
SCANA CORP	US570784499	21.61	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	4380000.0
SOUTH STATE CORP	US570799315	15.38	1	NASDAQ National Market	Bank	Revenue	443817.0
REGIONAL MANAGEMENT CORP.	US570847115	4.75	8	New York Stock Exchange (NYSE)	Financial company	Revenue	217306.0
KEMET CORP	US570923789	3.16	10	New York Stock Exchange (NYSE)	Industrial company	Revenue	734823.0
SCANSOURCE INC	US570965380	19.46	1	NASDAQ National Market	Industrial company	Revenue	3218626.0
COMPX INTERNATIONAL INC	US570981653	0.53	7	NYSE MKT	Industrial company	Revenue	108994.0
FIRST COMMUNITY CORPORATION, SOUTH CAROLINA	US571010751	0.0	132	NASDAQ National Market	Bank	Revenue	34645.0
BANK OF SOUTH CAROLINA CORPORATION	US571021355	0.0	127	NASDAQ National Market	Bank	Revenue	15178.0
CAROLINA FINANCIAL CORPORATION	US571039673	0.0	136	NASDAQ National Market	Bank	Revenue	72309.0
LINCOLN EDUCATIONAL SERVICES CORP	US571150621	7.53	6	NASDAQ National Market	Industrial company	Revenue	193220.0
VARONIS SYSTEMS, INC.	US571222280	2.4	13	NASDAQ National Market	Industrial company	Revenue	127210.0
DELTA AIR LINES, INC.	US580218548	13.77	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	40704000.0
GENUINE PARTS CO	US580254510	23.65	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	15280044.0
HAVERTY FURNITURE COMPANIES INC	US580281900	10.65	5	New York Stock Exchange (NYSE)	Industrial company	Revenue	805156.0
GRAY TELEVISION, INC.	US580285030	10.3	4	New York Stock Exchange (NYSE)	Industrial company	Revenue	597356.0
EQUIFAX INC	US580401110	18.99	1	New York Stock Exchange (NYSE)	Financial company	Revenue	2663600.0
CRAWFORD & CO	US580506554	7.29	2	New York Stock Exchange (NYSE)	Financial company	Revenue	1241520.0
COCA-COLA COMPANY (THE)	US580628465	15.45	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	44294000.0
CROWN CRAFTS, INC.	US580678148	0.33	25	NASDAQ National Market	Industrial company	Revenue	85978.0
AARON'S, INC.	US580687630	16.47	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	3179756.0
SOUTHERN CO	US580690070	16.54	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	17489000.0
OXFORD INDUSTRIES INC	US580831862	17.330000000000002	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	969290.0
COUSINS PROPERTIES INCORPORATED	US580869052	29.82	1	New York Stock Exchange (NYSE)	Financial company	Revenue	381643.0
ATLANTIC AMERICAN CORPORATION	US581027114	0.21	13	NASDAQ National Market	Insurance company	Revenue	156691.0
MAGELLAN HEALTH, INC.	US581076937	20.59	1	NASDAQ National Market	Industrial company	Revenue	4597400.0
AMERICAN SOFTWARE INC	US581098795	13.44	3	NASDAQ National Market	Industrial company	Revenue	102873.0
SYNOVUS FINANCIAL CORP	US581134883	18.130000000000006	1	New York Stock Exchange (NYSE)	Bank	Revenue	1072435.0
AFLAC INCORPORATED	US581167100	23.36	1	New York Stock Exchange (NYSE)	Insurance company	Revenue	
SOUTHWEST GEORGIA FINANCIAL CORP	US581392259	0.0	108	NYSE MKT	Bank	Revenue	17500.0
INDEPENDENCE HOLDING COMPANY	US581407235	3.37	5	New York Stock Exchange (NYSE)	Insurance company	Revenue	
FIDELITY SOUTHERN CORPORATION	US581416811	11.14	2	NASDAQ National Market	Bank	Revenue	228725.0
INTERFACE INC	US581451243	22.8	1	NASDAQ National Market	Industrial company	Revenue	1001863.0
AMERIS BANCORP	US581456434	14.820000000000002	1	NASDAQ National Market	Bank	Revenue	242213.0
CARMIKE CINEMAS INC	US581469127	11.62	1	NASDAQ National Market	Industrial company	Revenue	804368.0
COLONY BANKCORP INC	US581492391	0.98	11	NASDAQ National Market	Bank	Revenue	37500.0
TOTAL SYSTEM SERVICES INC	US581493818	17.82	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	2779541.0
POST PROPERTIES INC	US581550675	29.57	1	New York Stock Exchange (NYSE)	Financial company	Revenue	384006.0
RPC INC	US581550825	3.8	6	New York Stock Exchange (NYSE)	Industrial company	Revenue	1263840.0
AXIALL CORPORATION	US581563799	15.78	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	3361100.0
SUNTRUST BANKS, INC.	US581575035	19.98	1	New York Stock Exchange (NYSE)	Bank	Revenue	8032000.0
CYTRX CORP	US581642740	6.36	4	NASDAQ National Market	Industrial company	Revenue	100.0
PSYCHEMEDICS CORP	US581701987	5.25	4	NASDAQ National Market	Industrial company	Revenue	26975.0
UNITED COMMUNITY BANKS, INC	US581807304	5.41	4	NASDAQ National Market	Bank	Revenue	329920.0
CTC MEDIA, INC.	US581869211	0.49	12	NASDAQ National Market	Industrial company	Revenue	0.0
PERMA FIX ENVIRONMENTAL SERVICES INC	US581954497	3.0	4	NASDAQ National Market	Industrial company	Revenue	62383.0
CASI PHARMACEUTICALS INC	US581959440	1.55	7	NASDAQ National Market	Industrial company	Revenue	48.0
AGCO CORP	US581960019	17.810000000000006	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	7467300.0
INTELLIGENT SYSTEMS CORP	US581964787	0.0	109	NYSE MKT	Industrial company	Revenue	4782.0
BLACK DIAMOND, INC.	US581972600	6.919999999999999	2	NASDAQ National Market	Industrial company	Revenue	155266.0
POPEYES LOUISIANA KITCHEN, INC.	US582016606	19.04	1	NASDAQ National Market	Industrial company	Revenue	259000.0
BEAZER HOMES USA, INC.	US582086934	14.000000000000002	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	1627413.0
ACRE REALTY INVESTORS INC.	US582122873	0.0	103	NYSE MKT	Financial company	Revenue	0.0
AGL RESOURCES INC	US582210952	21.78	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	3941000.0
PRGX GLOBAL INC	US582213805	4.47	11	NASDAQ National Market	Industrial company	Revenue	138302.0
ANI PHARMACEUTICALS, INC.	US582301143	14.22	3	NASDAQ National Market	Industrial company	Revenue	76322.0
ATLANTICUS HOLDINGS CORP	US582336689	5.49	5	NASDAQ National Market	Bank	Revenue	62500.0
FUSION TELECOMMUNICATIONS INTERNATIONAL, INC.	US582342021	0.19	10	NASDAQ National Market	Industrial company	Revenue	101695.0
ALLIQUA BIOMEDICAL, INC.	US582349413	1.89	13	NASDAQ National Market	Industrial company	Revenue	15041.0
MANHATTAN ASSOCIATES INC	US582373424	21.98	1	NASDAQ National Market	Industrial company	Revenue	556371.0
SOUTHERN FIRST BANCSHARES, INC.	US582459561	2.55	11	NASDAQ National Market	Bank	Revenue	46204.0
UNITED PARCEL SERVICE INC	US582480149	10.86	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	58363000.0
CONNECTURE, INC.	US582488736	2.78	8	NASDAQ National Market	Industrial company	Revenue	95847.0
DELTA APPAREL INC	US582508794	2.61	14	NYSE MKT	Industrial company	Revenue	449142.0
GLOBAL PAYMENTS INC	US582567903	18.43	1	New York Stock Exchange (NYSE)	Financial company	Revenue	2773718.0
MARINE PRODUCTS CORP	US582572419	3.88	4	New York Stock Exchange (NYSE)	Industrial company	Revenue	207061.0
FLOWERS FOODS INC	US582582379	15.29	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	3778505.0
ACUITY BRANDS, INC.	US582632672	17.97	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	2706700.0
CHARTER FINANCIAL CORPORATION	US582659667	10.02	1	NASDAQ National Market	Bank	Revenue	47607.0
INDUSTRIAL SERVICES OF AMERICA INC	US590172746	0.84	8	NASDAQ National Market	Industrial company	Revenue	46180.0
ST. JOE COMPANY (THE)	US590432511	26.85	4	New York Stock Exchange (NYSE)	Financial company	Revenue	103871.0
CONSOLIDATED-TOMOKA LAND CO.	US590483700	9.81	3	NYSE MKT	Financial company	Revenue	42998.0
INTERNATIONAL SPEEDWAY CORP	US590709342	13.639999999999995	2	NASDAQ National Market	Industrial company	Revenue	645370.0
RYDER SYSTEM INC	US590739250	19.56	1	New York Stock Exchange (NYSE)	Bank	Revenue	7500000.0
WATSCO INC	US590778222	14.82	3	New York Stock Exchange (NYSE)	Industrial company	Revenue	4113239.0
BROWN & BROWN INC	US590864469	17.009999999999998	1	New York Stock Exchange (NYSE)	Financial company	Revenue	1660509.0
FLANIGANS ENTERPRISES INC	US590877638	0.13	11	NYSE MKT	Industrial company	Revenue	99121.0
ALICO INC	US590906081	5.010000000000002	5	NASDAQ National Market	Industrial company	Revenue	153119.0
ELIZABETH ARDEN INC	US590914138	12.02	5	NASDAQ National Market	Industrial company	Revenue	999298.0
GENCOR INDUSTRIES, INC.	US590933147	1.53	9	NASDAQ National Market	Industrial company	Revenue	39230.0
AMREP CORP	US590936128	0.12	27	New York Stock Exchange (NYSE)	Industrial company	Revenue	49790.0
PERRY ELLIS INTERNATIONAL INC	US591162998	12.02	1	NASDAQ National Market	Industrial company	Revenue	899515.0
AVIRAGEN THERAPEUTICS, INC.	US591212264	2.25	9	NASDAQ National Market	Industrial company	Revenue	24600.0
DYCOM INDUSTRIES INC	US591277135	20.31	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	2022312.0
OCEAN BIO-CHEM, INC.	US591564329	0.12	15	NASDAQ National Market	Industrial company	Revenue	33987.0
TECH DATA CORP	US591578329	21.57	1	NASDAQ National Market	Industrial company	Revenue	26379783.0
HMG COURTLAND PROPERTIES INC	US591914299	0.0	105	NYSE MKT	Financial company	Revenue	65.0
DANAHER CORP	US591995548	13.13	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	20563100.0
TECO ENERGY, INC.	US592052286	19.66	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	2743500.0
PHOTOMEDEX INC	US592058100	2.56	12	NASDAQ National Market	Industrial company	Revenue	75890.0
SEACOAST BANKING CORPORATION OF FLORIDA	US592260678	9.63	3	NASDAQ National Market	Bank	Revenue	112500.0
APPLIED DNA SCIENCES, INC.	US592262718	2.93	6	NASDAQ National Market	Industrial company	Revenue	9009.0
CAPITAL CITY BANK GROUP, INC.	US592273542	7.990000000000001	3	NASDAQ National Market	Bank	Revenue	122734.0
CHICOS FAS INC	US592389435	21.07	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	2642309.0
CRYOLIFE INC	US592417093	9.61	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	145898.0
NEXTERA ENERGY, INC.	US592449419	18.200000000000006	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	17486000.0
WORLD FUEL SERVICES CORP	US592459427	18.24	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	30379700.0
EXACTECH INC	US592603930	8.27	4	NASDAQ National Market	Industrial company	Revenue	241838.0
NATIONAL BEVERAGE CORP	US592605822	3.63	3	NASDAQ National Market	Industrial company	Revenue	645825.0
OFFICE DEPOT INC	US592663954	15.59	1	NASDAQ National Market	Industrial company	Revenue	14485000.0
IAC/INTERACTIVECORP	US592712887	15.47	2	NASDAQ National Market	Industrial company	Revenue	3230933.0
SUN HYDRAULICS CORP	US592754337	11.92	2	NASDAQ National Market	Industrial company	Revenue	200727.0
JUNIPER PHARMACEUTICALS, INC.	US592758596	9.21	1	NASDAQ National Market	Industrial company	Revenue	37558.0
INTL FCSTONE INC.	US592921318	15.48	1	NASDAQ National Market	Financial company	Revenue	34693200.0
PARKERVISION INC	US592971472	2.23	7	NASDAQ National Market	Industrial company	Revenue	11.0
REVOLUTION LIGHTING TECHNOLOGIES, INC.	US593046866	0.0	110	NASDAQ National Market	Industrial company	Revenue	129656.0
FARO TECHNOLOGIES INC	US593157093	20.1	1	NASDAQ National Market	Industrial company	Revenue	317548.0
REGENCY CENTERS CORP	US593191743	28.65	1	New York Stock Exchange (NYSE)	Financial company	Revenue	569763.0
KFORCE INC.	US593264661	17.16	1	NASDAQ National Market	Industrial company	Revenue	1319238.0
DARDEN RESTAURANTS INC	US593305930	20.88	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	6764000.0
HONGLI CLEAN ENERGY TECHNOLOGIES CORP.	US593404233	0.0	105	NASDAQ National Market	Industrial company	Revenue	45613.0
AMERICAN ELECTRIC TECHNOLOGIES, INC.	US593410234	1.64	11	NASDAQ National Market	Industrial company	Revenue	49083.0
ORAGENICS, INC.	US593410522	0.0	113	NYSE MKT	Industrial company	Revenue	1176.0
TEARLAB CORPORATION	US593434771	2.78	8	NASDAQ National Market	Industrial company	Revenue	25156.0
RTI SURGICAL, INC.	US593466543	12.07	2	NASDAQ National Market	Industrial company	Revenue	282293.0
RELM WIRELESS CORP	US593486297	1.53	9	NYSE MKT	Industrial company	Revenue	29722.0
MARINEMAX INC	US593496957	17.07	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	751370.0
HUDSON GLOBAL INC.	US593547281	4.359999999999999	9	NASDAQ National Market	Industrial company	Revenue	463197.0
BRIDGEPOINT EDUCATION, INC.	US593551629	5.06	2	New York Stock Exchange (NYSE)	Industrial company	Revenue	561729.0
APPLIED GENETIC TECHNOLOGIES CORPORATION	US593553710	6.1000000000000005	11	NASDAQ National Market	Industrial company	Revenue	2354.0
INTERSIL CORP	US593590018	18.72	1	NASDAQ National Market	Industrial company	Revenue	521616.0
CENTERSTATE BANKS, INC	US593606741	12.91	1	NASDAQ National Market	Bank	Revenue	192455.0
BIOPHARMX CORPORATION	US593843182	0.16	11	NYSE MKT	Industrial company	Revenue	1.0
BROWN FORMAN CORP	US610143150	9.38	6	New York Stock Exchange (NYSE)	Industrial company	Revenue	3134000.0
CHURCHILL DOWNS INC	US610156015	11.24	3	NASDAQ National Market	Industrial company	Revenue	1212301.0
DELTA NATURAL GAS CO INC	US610458329	4.54	2	NASDAQ National Market	Industrial company	Revenue	86188.0
DOLLAR GENERAL CORP	US610502302	20.22	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	20368562.0
HUMANA INC	US610647538	16.27	1	New York Stock Exchange (NYSE)	Insurance company	Revenue	
REPUBLIC BANCORP INC	US610862051	5.83	4	NASDAQ National Market	Bank	Revenue	350000.0
CITIZENS FIRST CORPORATION	US610912615	0.0	114	NASDAQ National Market	Bank	Revenue	1691.0
COMMUNITY TRUST BANCORP INC	US610979818	10.92	1	NASDAQ National Market	Bank	Revenue	175000.0
IMMUNOMEDICS INC	US611009366	12.22	3	NASDAQ National Market	Industrial company	Revenue	5653.0
FARMERS CAPITAL BANK CORPORATION	US611017851	10.159999999999998	1	NASDAQ National Market	Bank	Revenue	74356.0
VENTAS, INC.	US611055020	28.02	1	New York Stock Exchange (NYSE)	Financial company	Revenue	3286398.0
AECOM	US611088522	16.5	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	17989880.0
ACCURIDE CORPORATION	US611109077	8.0	5	New York Stock Exchange (NYSE)	Industrial company	Revenue	685574.0
STOCK YARD BANCORP INC	US611137529	11.2	1	NASDAQ National Market	Bank	Revenue	128637.0
PORTER BANCORP, INC.	US611142247	0.21	17	NASDAQ National Market	Bank	Revenue	27031.0
PAPA JOHNS INTERNATIONAL INC	US611203323	14.560000000000002	2	NASDAQ National Market	Industrial company	Revenue	1637375.0
PREMIER FINANCIAL BANCORP, INC.	US611206757	2.37	4	NASDAQ National Market	Bank	Revenue	54420.0
SYPRIS SOLUTIONS INC	US611321992	1.27	9	NASDAQ National Market	Industrial company	Revenue	145323.0
HOPFED BANCORP, INC	US611322555	2.02	9	NASDAQ National Market	Bank	Revenue	-8944.0
KINDRED HEALTHCARE, INC.	US611323993	19.75	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	7054907.0
ENBRIDGE ENERGY MANAGEMENT, L.L.C.	US611414604	0.0	101	New York Stock Exchange (NYSE)	Industrial company	Revenue	0.0
